Nov 26, 2016 10:18:48 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
telecrop.com,3.0328550074936823E-6,7654
nginx,3.0328550074936823E-6,7655
nginx,3.0328550074936823E-6,7656
www.download.windowsupdate.com,3.0328550074936823E-6,7657
www.download.windowsupdate.com,3.0328550074936823E-6,7658
www.download.windowsupdate.com,3.0328550074936823E-6,7659
www.download.windowsupdate.com,3.0328550074936823E-6,7660
www.download.windowsupdate.com,3.0328550074936823E-6,7661
64.235.43.131,3.0348006776255236E-6,7672
vcvcvcvc.dyndns.org ,3.376301696366538E-6,8862
vcvcvcvc.dyndns.org ,3.378298951586832E-6,8867
61.178.77.169,3.9154642221580335E-6,10804
146.185.213.35,4.069022901782299E-6,11363
rwyngtbvunfpk.org\r\n,5.8053536495006035E-6,17296
rwyngtbvunfpk.org\r\n,5.8053536495006035E-6,17297
64.235.43.131,5.8053536495006035E-6,17298
64.235.43.131,5.8053536495006035E-6,17299
64.235.43.131,5.8053536495006035E-6,17300
takeinfo.ru\r\n,5.8053536495006035E-6,17301
takeinfo.ru\r\n,5.8053536495006035E-6,17302
takeinfo.ru\r\n,5.8053536495006035E-6,17303
takeinfo.ru\r\n,5.8053536495006035E-6,17304
nginx/0.7.67\r\n,5.8053536495006035E-6,17305
trapbath.ru,6.065762690413264E-6,18202
trapbath.ru,6.065762690413264E-6,18203
64.235.43.131,6.065762690413264E-6,18204
64.235.43.131,6.065762690413264E-6,18205
sgb-sy.com,6.065762690413264E-6,18206
sgb-sy.com,6.065762690413264E-6,18207
telecrop.com,6.065762690413264E-6,18208
telecrop.com,6.065762690413264E-6,18209
nginx,6.065762690413264E-6,18210
nginx,6.065762690413264E-6,18211
64.235.43.131,6.0709965704395364E-6,18228
64.235.43.131,6.0709965704395364E-6,18229
61.178.77.170,6.618223941010179E-6,19934
vcvcvcvc.dyndns.org ,6.753158132603678E-6,20340
vcvcvcvc.dyndns.org ,6.753158132603678E-6,20341
vcvcvcvc.dyndns.org ,6.757147485082385E-6,20349
vcvcvcvc.dyndns.org ,6.757147485082385E-6,20350
nginx,9.098670390906746E-6,27375
nginx,9.098670390906746E-6,27376
nginx,9.098670390906746E-6,27377
nginx,9.098670390906746E-6,27378
nginx,9.098670390906746E-6,27379
nginx,9.098670390906746E-6,27380
mugspade.ru,9.349506013851844E-6,28081
64.235.43.131,1.1614176909525621E-5,34311
64.235.43.131,1.1614176909525621E-5,34312
nginx/0.7.67\r\n,1.1614176909525621E-5,34313
nginx/0.7.67\r\n,1.1614176909525621E-5,34314
firewall.happytohell.com,8.104429595142434E-4,988166
www.redlinesys.net,6.903863805014847E-5,156587
omegaartworld.com,1.6300347533469662E-4,302963
firewall.happytohell.com,1.6883297136955212E-4,310748
