"original","protocol","sip","sport","dip","dport"
"TCP 80.66.19.133:38775->25.0.17.210:80","TCP","80.66.19.133","38775","25.0.17.210","80"
"TCP 80.66.18.105:42804->25.0.19.86:80","TCP","80.66.18.105","42804","25.0.19.86","80"
"TCP 12.166.7.170:23861->25.0.18.118:80","TCP","12.166.7.170","23861","25.0.18.118","80"
"TCP 80.66.17.24:58913->25.0.18.35:80","TCP","80.66.17.24","58913","25.0.18.35","80"
"TCP 122.52.247.58:35993->25.0.18.254:80","TCP","122.52.247.58","35993","25.0.18.254","80"
"TCP 80.66.15.66:18180->25.0.18.79:80","TCP","80.66.15.66","18180","25.0.18.79","80"
"TCP 80.66.15.50:13047->25.0.19.8:80","TCP","80.66.15.50","13047","25.0.19.8","80"
"TCP 213.184.20.35:2982->25.0.17.227:80","TCP","213.184.20.35","2982","25.0.17.227","80"
"TCP 213.184.19.76:23153->25.0.18.5:80","TCP","213.184.19.76","23153","25.0.18.5","80"
"TCP 12.166.7.196:36304->25.0.18.101:80","TCP","12.166.7.196","36304","25.0.18.101","80"
"TCP 12.166.7.38:33316->25.0.17.176:80","TCP","12.166.7.38","33316","25.0.17.176","80"
"TCP 12.166.6.235:41640->25.0.18.5:80","TCP","12.166.6.235","41640","25.0.18.5","80"
"TCP 213.184.20.145:4980->25.0.17.120:80","TCP","213.184.20.145","4980","25.0.17.120","80"
"TCP 213.184.21.176:40318->25.0.18.12:35692","TCP","213.184.21.176","40318","25.0.18.12","35692"
"TCP 80.66.19.113:48964->25.0.17.149:80","TCP","80.66.19.113","48964","25.0.17.149","80"
"TCP 213.184.21.34:5291->25.0.18.130:80","TCP","213.184.21.34","5291","25.0.18.130","80"
"TCP 122.52.228.20:57959->25.0.19.106:80","TCP","122.52.228.20","57959","25.0.19.106","80"
"TCP 80.66.18.17:48904->25.0.19.119:80","TCP","80.66.18.17","48904","25.0.19.119","80"
"TCP 80.66.14.250:21097->25.0.18.57:80","TCP","80.66.14.250","21097","25.0.18.57","80"
"TCP 12.166.7.129:64657->25.0.19.61:80","TCP","12.166.7.129","64657","25.0.19.61","80"
"TCP 213.184.22.64:25229->25.0.18.67:80","TCP","213.184.22.64","25229","25.0.18.67","80"
"TCP 213.184.22.208:38368->25.0.17.168:80","TCP","213.184.22.208","38368","25.0.17.168","80"
"TCP 12.166.8.51:51169->25.0.18.199:80","TCP","12.166.8.51","51169","25.0.18.199","80"
"TCP 80.66.18.40:55176->25.0.19.119:80","TCP","80.66.18.40","55176","25.0.19.119","80"
"TCP 122.52.235.65:33605->25.0.18.77:80","TCP","122.52.235.65","33605","25.0.18.77","80"
"TCP 213.184.22.102:31326->25.0.18.195:80","TCP","213.184.22.102","31326","25.0.18.195","80"
"TCP 12.166.7.252:1939->25.0.17.206:80","TCP","12.166.7.252","1939","25.0.17.206","80"
"TCP 122.52.254.27:32048->25.0.18.63:80","TCP","122.52.254.27","32048","25.0.18.63","80"
"TCP 12.166.7.45:34188->25.0.18.93:80","TCP","12.166.7.45","34188","25.0.18.93","80"
"TCP 80.66.15.221:13035->25.0.17.145:80","TCP","80.66.15.221","13035","25.0.17.145","80"
"TCP 213.184.21.183:10501->25.0.18.82:80","TCP","213.184.21.183","10501","25.0.18.82","80"
"TCP 122.52.236.168:6419->25.0.18.159:80","TCP","122.52.236.168","6419","25.0.18.159","80"
"TCP 213.184.19.115:40896->25.0.18.183:80","TCP","213.184.19.115","40896","25.0.18.183","80"
"TCP 122.52.243.64:45347->25.0.17.239:80","TCP","122.52.243.64","45347","25.0.17.239","80"
"TCP 122.52.240.116:65017->25.0.18.184:80","TCP","122.52.240.116","65017","25.0.18.184","80"
"TCP 12.166.7.195:47504->25.0.18.251:80","TCP","12.166.7.195","47504","25.0.18.251","80"
"TCP 122.52.252.177:63431->25.0.17.142:80","TCP","122.52.252.177","63431","25.0.17.142","80"
"TCP 12.166.7.94:9985->25.0.19.13:80","TCP","12.166.7.94","9985","25.0.19.13","80"
"TCP 122.52.246.0:6130->25.0.18.94:80","TCP","122.52.246.0","6130","25.0.18.94","80"
"TCP 213.184.21.136:33720->25.0.17.107:80","TCP","213.184.21.136","33720","25.0.17.107","80"
"TCP 80.66.17.224:31768->25.0.18.201:80","TCP","80.66.17.224","31768","25.0.18.201","80"
"TCP 122.52.233.228:33730->25.0.19.1:80","TCP","122.52.233.228","33730","25.0.19.1","80"
"TCP 122.52.250.41:3304->25.0.18.187:80","TCP","122.52.250.41","3304","25.0.18.187","80"
"TCP 213.184.22.182:39221->25.0.18.171:80","TCP","213.184.22.182","39221","25.0.18.171","80"
"TCP 80.66.15.68:40762->25.0.18.106:80","TCP","80.66.15.68","40762","25.0.18.106","80"
