"time","sip","dip","sport","dport","score","rank","original","type","label","y","TP","FP"
"2016-11-11 02:42:11","80.66.1.227","25.0.2.64",34056,25,0.00114324244043634,114268443,"TCP 80.66.1.227:34056->25.0.2.64:25","TCP","bad",1819,0.262975278299841,0.000358735656288538
"2016-11-11 02:42:11","80.66.1.227","25.0.2.64",34056,25,0.00114324244043634,114268443,"TCP 80.66.1.227:34056->25.0.2.64:25","TCP","bad",1820,0.2631198496458,0.000358735653149076
"2016-11-11 02:52:45","12.166.0.254","25.0.4.11",61154,25,0.00114324244043634,114268444,"TCP 12.166.0.254:61154->25.0.4.11:25","TCP","bad",1821,0.263264420991759,0.000358735653149076
"2016-11-11 02:52:45","12.166.0.254","25.0.4.11",61154,25,0.00114324244043634,114268444,"TCP 12.166.0.254:61154->25.0.4.11:25","TCP","bad",1822,0.263408992337719,0.000358735650009615
"2016-11-11 02:42:18","12.166.1.160","25.0.3.250",4876,25,0.00114324244043634,114268445,"TCP 12.166.1.160:4876->25.0.3.250:25","TCP","bad",1823,0.263553563683678,0.000358735650009615
"2016-11-11 02:42:18","12.166.1.160","25.0.3.250",4876,25,0.00114324244043634,114268445,"TCP 12.166.1.160:4876->25.0.3.250:25","TCP","bad",1824,0.263698135029637,0.000358735646870153
"2016-11-11 02:45:05","12.166.1.206","25.0.2.246",45249,25,0.00114324244043634,114268446,"TCP 12.166.1.206:45249->25.0.2.246:25","TCP","bad",1825,0.263842706375596,0.000358735646870153
"2016-11-11 02:45:05","12.166.1.206","25.0.2.246",45249,25,0.00114324244043634,114268446,"TCP 12.166.1.206:45249->25.0.2.246:25","TCP","bad",1826,0.263987277721556,0.000358735643730692
"2016-11-11 02:46:24","12.166.0.104","25.0.2.246",31911,25,0.00114324244043634,114268447,"TCP 12.166.0.104:31911->25.0.2.246:25","TCP","bad",1827,0.264131849067515,0.000358735643730692
"2016-11-11 02:46:24","12.166.0.104","25.0.2.246",31911,25,0.00114324244043634,114268447,"TCP 12.166.0.104:31911->25.0.2.246:25","TCP","bad",1828,0.264276420413474,0.00035873564059123
"2016-11-11 02:46:49","213.184.4.50","25.0.3.212",13690,25,0.00114324244043634,114268448,"TCP 213.184.4.50:13690->25.0.3.212:25","TCP","bad",1829,0.264420991759433,0.00035873564059123
"2016-11-11 02:46:49","213.184.4.50","25.0.3.212",13690,25,0.00114324244043634,114268448,"TCP 213.184.4.50:13690->25.0.3.212:25","TCP","bad",1830,0.264565563105393,0.000358735637451769
"2016-11-11 02:46:56","213.184.1.115","25.0.3.212",60488,25,0.00114324244043634,114268449,"TCP 213.184.1.115:60488->25.0.3.212:25","TCP","bad",1831,0.264710134451352,0.000358735637451769
"2016-11-11 02:46:56","213.184.1.115","25.0.3.212",60488,25,0.00114324244043634,114268449,"TCP 213.184.1.115:60488->25.0.3.212:25","TCP","bad",1832,0.264854705797311,0.000358735634312307
"2016-11-11 02:50:55","80.66.4.201","25.0.3.212",32725,25,0.00114324244043634,114268450,"TCP 80.66.4.201:32725->25.0.3.212:25","TCP","bad",1833,0.26499927714327,0.000358735634312307
"2016-11-11 02:50:55","80.66.4.201","25.0.3.212",32725,25,0.00114324244043634,114268450,"TCP 80.66.4.201:32725->25.0.3.212:25","TCP","bad",1834,0.265143848489229,0.000358735631172846
"2016-11-11 02:53:25","213.184.2.30","25.0.3.171",32541,25,0.00114324244043634,114268451,"TCP 213.184.2.30:32541->25.0.3.171:25","TCP","bad",1835,0.265288419835189,0.000358735631172846
"2016-11-11 02:53:25","213.184.2.30","25.0.3.171",32541,25,0.00114324244043634,114268451,"TCP 213.184.2.30:32541->25.0.3.171:25","TCP","bad",1836,0.265432991181148,0.000358735628033384
"2016-11-11 02:49:16","12.166.0.146","25.0.3.171",19469,25,0.00114324244043634,114268452,"TCP 12.166.0.146:19469->25.0.3.171:25","TCP","bad",1837,0.265577562527107,0.000358735628033384
"2016-11-11 02:49:16","12.166.0.146","25.0.3.171",19469,25,0.00114324244043634,114268452,"TCP 12.166.0.146:19469->25.0.3.171:25","TCP","bad",1838,0.265722133873066,0.000358735624893923
"2016-11-11 02:43:33","80.66.3.81","25.0.2.59",1490,25,0.00114324244043634,114268453,"TCP 80.66.3.81:1490->25.0.2.59:25","TCP","bad",1839,0.265866705219026,0.000358735624893923
"2016-11-11 02:43:33","80.66.3.81","25.0.2.59",1490,25,0.00114324244043634,114268453,"TCP 80.66.3.81:1490->25.0.2.59:25","TCP","bad",1840,0.266011276564985,0.000358735621754462
"2016-11-11 02:43:07","80.66.1.135","25.0.2.59",56651,25,0.00114324244043634,114268454,"TCP 80.66.1.135:56651->25.0.2.59:25","TCP","bad",1841,0.266155847910944,0.000358735621754462
"2016-11-11 02:43:07","80.66.1.135","25.0.2.59",56651,25,0.00114324244043634,114268454,"TCP 80.66.1.135:56651->25.0.2.59:25","TCP","bad",1842,0.266300419256903,0.000358735618615
"2016-11-11 02:45:44","80.66.0.33","25.0.2.161",8893,25,0.00114324244043634,114268455,"TCP 80.66.0.33:8893->25.0.2.161:25","TCP","bad",1843,0.266444990602863,0.000358735618615
"2016-11-11 02:45:44","80.66.0.33","25.0.2.161",8893,25,0.00114324244043634,114268455,"TCP 80.66.0.33:8893->25.0.2.161:25","TCP","bad",1844,0.266589561948822,0.000358735615475539
