"time","sip","dip","sport","dport","score","rank","original","type","label","y","TP","FP"
"2016-11-11 02:38:29","12.166.1.120","25.0.3.252",34211,25,0.00118362713165844,116475487,"TCP 12.166.1.120:34211->25.0.3.252:25","TCP","bad",5157,0.745554431111754,0.000365654106351558
"2016-11-11 02:35:29","80.66.2.57","25.0.2.237",12492,25,0.00118362713165844,116475488,"TCP 80.66.2.57:12492->25.0.2.237:25","TCP","bad",5158,0.745699002457713,0.000365654106351558
"2016-11-11 02:35:29","80.66.2.57","25.0.2.237",12492,25,0.00118362713165844,116475488,"TCP 80.66.2.57:12492->25.0.2.237:25","TCP","bad",5159,0.745843573803672,0.000365654103212096
"2016-11-11 02:36:38","80.66.0.65","25.0.2.97",38544,25,0.00118362713165844,116475489,"TCP 80.66.0.65:38544->25.0.2.97:25","TCP","bad",5160,0.745988145149631,0.000365654103212096
"2016-11-11 02:36:38","80.66.0.65","25.0.2.97",38544,25,0.00118362713165844,116475489,"TCP 80.66.0.65:38544->25.0.2.97:25","TCP","bad",5161,0.746132716495591,0.000365654100072635
"2016-11-11 02:36:13","80.66.0.45","25.0.3.159",4274,25,0.00118362713165844,116475490,"TCP 80.66.0.45:4274->25.0.3.159:25","TCP","bad",5162,0.74627728784155,0.000365654100072635
"2016-11-11 02:36:13","80.66.0.45","25.0.3.159",4274,25,0.00118362713165844,116475490,"TCP 80.66.0.45:4274->25.0.3.159:25","TCP","bad",5163,0.746421859187509,0.000365654096933173
"2016-11-11 02:35:52","12.166.1.56","25.0.3.159",57586,25,0.00118362713165844,116475491,"TCP 12.166.1.56:57586->25.0.3.159:25","TCP","bad",5164,0.746566430533468,0.000365654096933173
"2016-11-11 02:35:52","12.166.1.56","25.0.3.159",57586,25,0.00118362713165844,116475491,"TCP 12.166.1.56:57586->25.0.3.159:25","TCP","bad",5165,0.746711001879428,0.000365654093793712
"2016-11-11 02:38:32","213.184.2.124","25.0.4.44",39540,25,0.00118362713165844,116475492,"TCP 213.184.2.124:39540->25.0.4.44:25","TCP","bad",5166,0.746855573225387,0.000365654093793712
"2016-11-11 02:38:32","213.184.2.124","25.0.4.44",39540,25,0.00118362713165844,116475492,"TCP 213.184.2.124:39540->25.0.4.44:25","TCP","bad",5167,0.747000144571346,0.00036565409065425
"2016-11-11 02:37:10","80.66.0.164","25.0.3.115",29254,25,0.00118362713165844,116475493,"TCP 80.66.0.164:29254->25.0.3.115:25","TCP","bad",5168,0.747144715917305,0.00036565409065425
"2016-11-11 02:37:10","80.66.0.164","25.0.3.115",29254,25,0.00118362713165844,116475493,"TCP 80.66.0.164:29254->25.0.3.115:25","TCP","bad",5169,0.747289287263264,0.000365654087514789
